Reference,Value,Footprint,Mfr 1,Mfr 1 PN,Supplier 1 Link,Qty
BT2,Battery_Cell,Battery:BatteryHolder_Keystone_3002_1x2032,Keystone Electronics,3002TR,https://www.digikey.com/en/products/detail/keystone-electronics/3002TR/306867,1
"C2, C11",10uF,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,Samsung Electro-Mechanics,CL21A106KOCLRNC,https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL21A106KOCLRNC/3888057,2
"C1, C3, C12, C13, C15",0.1uF,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,YAGEO,CC0805KRX7R9BB104,https://www.digikey.com/en/products/detail/yageo/CC0805KRX7R9BB104/302874,5
"D1, D2",BAT20J,Diode_SMD:D_SOD-323_HandSoldering,STMicroelectronics,BAT20JFILM,https://www.digikey.com/en/products/detail/stmicroelectronics/BAT20JFILM/669137?s=N4IgTCBcDaIEIEEAqYAMApEBdAvkA,2
"H2, H3",MountingHole,MountingHole:MountingHole_3.2mm_M3_Pad_Via,NA,NA,NA,2
J1,Pololu-3782,ADAFRUIT_QT_PY:Pololu-3782,Pololu,3782,https://www.pololu.com/product/3782,1
J2,Conn_01x05,Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical,NA,NA,NA,1
J5,Conn_01x03,Connector_JST:JST_XH_S3B-XH-A_1x03_P2.50mm_Horizontal,NA,NA,NA,1
J6,Conn_01x04,Connector_JST:JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,JST Sales America Inc.,SM04B-SRSS-TB,https://www.digikey.com/en/products/detail/jst-sales-america-inc/S4B-XH-A/1651041,1
"J4, J7",Conn_01x02_Male,Connector_JST:JST_XH_S2B-XH-A_1x02_P2.50mm_Horizontal,NA,NA,NA,2
J8,Conn_01x04,Connector_JST:JST_XH_S4B-XH-A_1x04_P2.50mm_Horizontal,NA,NA,NA,1
J9,Conn_01x02_Male,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,NA,NA,NA,1
J10,Conn_02x20_Odd_Even,Connector_PinSocket_2.54mm:PinSocket_2x20_P2.54mm_Vertical,Oupiin,2047-2X20G00S3U,https://www.digikey.com/en/products/detail/oupiin/2047-2X20G00S3U/13251053,1
JP2-JP4,SolderJumper_2_Open,Jumper:SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,NA,NA,NA,3
"JP1, JP42",SolderJumper_2_Bridged,Jumper:SolderJumper-2_P1.3mm_Bridged_Pad1.0x1.5mm,NA,NA,NA,2
R1,120k,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,"KOA Speer Electronics, Inc.",RK73H2ATTD1203F,https://www.digikey.com/en/products/detail/koa-speer-electronics-inc/RK73H2ATTD1203F/10234708,1
R10,0.15,Resistor_SMD:R_2512_6332Metric_Pad1.40x3.35mm_HandSolder,Stackpole Electronics Inc,RMCF2512FTR150,https://www.digikey.com/en/products/detail/stackpole-electronics-inc/RMCF2512FTR150/1716773?s=N4IgTCBcDaIBwFYAMBaASgWQMIDEwIEYwcAVNA5LElAOQBEQBdAXyA,1
"R11, R12",10,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,YAGEO,RC0805FR-0710RL,https://www.digikey.com/en/products/detail/yageo/RC0805FR-0710RL/727534,2
"R13, R14",10k,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,Stackpole Electronics Inc,RNCP0805FTD10K0,https://www.digikey.com/en/products/detail/stackpole-electronics-inc/RNCP0805FTD10K0/2240262,2
R15,470k,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,Stackpole Electronics Inc,RMCF0805JT470Kf,https://www.digikey.com/en/products/detail/stackpole-electronics-inc/RMCF0805JT470K/1757857,1
S1,EG1213,EG1213:SW_EG1213,E-Switch,EG1213,https://www.digikey.com/en/products/detail/e-switch/EG1213/101735?s=N4IgTCBcDaIKIHECMYkGYQF0C%2BQ,1
U3,INA219AxD,Package_SO:SOIC-8_3.9x4.9mm_P1.27mm,Texas Instruments,INA219BIDR,https://www.digikey.com/en/products/detail/texas-instruments/INA219BIDR/2426057,1
U8,DS3231M,Package_SO:SOIC-16W_7.5x10.3mm_P1.27mm,Analog Devices Inc./Maxim Integrated,DS3231M+,https://www.digikey.com/en/products/detail/analog-devices-inc-maxim-integrated/DS3231M/2402420,1
U9,74AHC1GU04,Package_TO_SOT_SMD:SOT-23-5_HandSoldering,Texas Instruments,SN74AHC1GU04DBVR,https://www.digikey.com/en/products/detail/texas-instruments/SN74AHC1GU04DBVR/276739,1
U11,74AHC1G02,Package_TO_SOT_SMD:SOT-23-5_HandSoldering,Texas Instruments,74AHC1G02,,1
Q1,IRLML2502,,,IRLML2502,,