Designator,Mid X,Mid Y,Rotation,Layer
C1,148.971000,-102.235000,90.000000,top
C3,142.875000,-98.171000,180.000000,top
C11,157.353000,-104.902000,180.000000,top
C12,157.353000,-107.315000,180.000000,top
C13,148.209000,-117.602000,-90.000000,top
C15,143.002000,-125.730000,180.000000,top
D1,134.721600,-103.632000,90.000000,top
D2,138.353800,-103.632000,90.000000,top
J6,138.176000,-68.580000,180.000000,top
Q1,139.573000,-114.808000,90.000000,top
R10,142.875000,-91.821000,0.000000,top
R11,139.827000,-95.885000,-90.000000,top
R12,145.923000,-95.885000,-90.000000,top
R13,162.941000,-106.045000,90.000000,top
R14,165.862000,-106.045000,90.000000,top
R15,145.161000,-113.157000,-90.000000,top
U3,144.145000,-103.886000,90.000000,top
U8,160.655000,-114.300000,0.000000,top
U9,145.161000,-117.602000,-90.000000,top
U11,143.256000,-122.682000,180.000000,top